representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
JDR,K-medoids,7,0.33557509215575104,0.33557509215575104,1.0,1.0,0.2233103977208592
JDR,K-means,7,0.4828127583262168,0.4828127583262168,1.0,1.0,0.21092834187939521
JDR,Average linkage,7,0.8312526984722034,0.8312526984722034,1.0,1.0,0.005412628067723617
JDR,DBSCAN,7,0.4920665929513743,0.2774407662039754,0.7897310513447433,0.80440097799511,0.20098481660748868
JDR,HDBSCAN,7,0.5554250886491955,0.8528586715579919,0.44987775061124696,0.5696821515892421,-0.006590167605135537
Classical shape,K-medoids,7,0.938936946837229,0.938936946837229,1.0,1.0,0.314991691312612
Classical shape,K-means,7,0.905439044083551,0.905439044083551,1.0,1.0,0.3904321705623176
Classical shape,Average linkage,7,0.9389542842818732,0.9389542842818732,1.0,1.0,0.09075149029902986
Classical shape,DBSCAN,7,0.7147015857618823,,0.7628361858190709,0.78239608801956,0.4727260571308393
Classical shape,HDBSCAN,7,0.728563775286856,0.926089708981604,0.5819070904645477,0.6625916870415648,0.4258334179347164
Classical full,K-medoids,7,0.4494861213188664,0.4494861213188664,1.0,1.0,0.6594290809363069
Classical full,K-means,7,0.980457756046386,0.980457756046386,1.0,1.0,0.4125839769321635
Classical full,Average linkage,7,1.0,1.0,1.0,1.0,0.10043953194558664
Classical full,DBSCAN,7,0.9342745529364029,0.9951913646628893,0.7579462102689487,0.7799511002444988,0.6287483229808976
Classical full,HDBSCAN,7,0.9407490858743781,1.0,0.7677261613691931,0.784841075794621,0.7093218611760785
JDR,K-medoids,8,0.3442931329780958,0.3442931329780958,1.0,1.0,0.21561617497654076
JDR,K-means,8,0.49821563192232077,0.49821563192232077,1.0,1.0,0.19995778742184261
JDR,Average linkage,8,0.34589377495269696,0.34589377495269696,1.0,1.0,0.48484116119311155
JDR,DBSCAN,8,0.6136676883347211,0.1394574963233001,0.7726161369193154,0.78239608801956,0.1840606790814269
JDR,HDBSCAN,8,0.434048679711637,0.8528826738998322,0.4278728606356968,0.5819070904645477,-0.010094379736950156
Classical shape,K-medoids,8,0.8466637163349837,0.8466637163349837,1.0,1.0,0.40216840504417717
Classical shape,K-means,8,0.8764542345117473,0.8764542345117473,1.0,1.0,0.3950039096199455
Classical shape,Average linkage,8,1.0,1.0,1.0,1.0,0.1382543077085673
Classical shape,DBSCAN,8,0.9052851017651621,,0.7628361858190709,0.7701711491442543,0.27053228757794073
Classical shape,HDBSCAN,8,0.011861210739757749,,0.6039119804400978,0.9902200488997555,0.10342681283700095
Classical full,K-medoids,8,0.4758068255434979,0.4758068255434979,1.0,1.0,0.35485972103058877
Classical full,K-means,8,0.8497005623012821,0.8497005623012821,1.0,1.0,0.4963213125266943
Classical full,Average linkage,8,1.0,1.0,1.0,1.0,0.1382543077085673
Classical full,DBSCAN,8,0.9653967615469105,1.0,0.7677261613691931,0.7750611246943765,0.6223727666970298
Classical full,HDBSCAN,8,0.9358615219244464,0.9962782261924858,0.7921760391198044,0.8312958435207825,0.7679801268733278
JDR,K-medoids,9,0.6706005204578138,0.6706005204578138,1.0,1.0,0.1953119845684127
JDR,K-means,9,0.9282104767718838,0.9282104767718838,1.0,1.0,0.20989940191350212
JDR,Average linkage,9,0.7939039504418086,0.7939039504418086,1.0,1.0,0.02320688084575833
JDR,DBSCAN,9,0.6833169640138517,0.37565510288345205,0.7726161369193154,0.78239608801956,0.1171042524866982
JDR,HDBSCAN,9,0.5846282976662164,0.8681340080594717,0.4474327628361858,0.5354523227383863,-0.04196816764195753
Classical shape,K-medoids,9,0.9514997701942817,0.9514997701942817,1.0,1.0,0.32047126007826476
Classical shape,K-means,9,0.9668725955371439,0.9668725955371439,1.0,1.0,0.3434439195295888
Classical shape,Average linkage,9,0.9451253903508738,0.9451253903508738,1.0,1.0,0.09584738254059377
Classical shape,DBSCAN,9,0.8562430491620627,,0.7481662591687042,0.7775061124694377,0.3177763439168941
Classical shape,HDBSCAN,9,0.7780119109321718,0.9148340983977697,0.5794621026894865,0.6308068459657702,0.3501269956763825
Classical full,K-medoids,9,0.6800809776766726,0.6800809776766726,1.0,1.0,0.38043317380051933
Classical full,K-means,9,0.9852618841628039,0.9852618841628039,1.0,1.0,0.4124292310486514
Classical full,Average linkage,9,1.0,1.0,1.0,1.0,0.10511585605141081
