representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical shape,HDBSCAN,16,0.8926075848955491,1.0,0.5770171149144254,0.5941320293398533,0.3253459594344304
Classical full,K-medoids,16,0.605760456393608,0.605760456393608,1.0,1.0,0.32994731983712244
Classical full,K-means,16,0.9113642659777834,0.9113642659777834,1.0,1.0,0.42358688635563807
Classical full,Average linkage,16,1.0,1.0,1.0,1.0,0.08194191943661228
Classical full,DBSCAN,16,0.9685452740990006,1.0,0.7775061124694377,0.7970660146699267,0.6411543930530509
Classical full,HDBSCAN,16,0.9505605910960548,0.9988938438278706,0.7628361858190709,0.7750611246943765,0.6987758381322907
JDR,K-medoids,17,0.9767408792189376,0.9767408792189376,1.0,1.0,0.2304980671854175
JDR,K-means,17,0.626273511749942,0.626273511749942,1.0,1.0,0.22928970585925884
JDR,Average linkage,17,0.9544428293312445,0.9544428293312445,1.0,1.0,0.01486152293975454
JDR,DBSCAN,17,0.6125717708064693,0.21337787994161167,0.7775061124694377,0.7946210268948656,0.13486501505617257
JDR,HDBSCAN,17,0.6361132784430418,0.8916222381515861,0.43031784841075793,0.5061124694376528,-0.026004618510434167
Classical shape,K-medoids,17,0.7453652963820694,0.7453652963820694,1.0,1.0,0.4222177722341191
Classical shape,K-means,17,0.8671152129415631,0.8671152129415631,1.0,1.0,0.2628890560221466
Classical shape,Average linkage,17,1.0,1.0,1.0,1.0,0.11795172965733365
Classical shape,DBSCAN,17,0.8948361544946638,,0.7628361858190709,0.7775061124694377,0.30285800170003285
Classical shape,HDBSCAN,17,0.5361101802868723,0.5844899499064832,0.4767726161369193,0.4841075794621027,0.10576748037100915
Classical full,K-medoids,17,0.44236647480401586,0.44236647480401586,1.0,1.0,0.62468887663391
Classical full,K-means,17,0.9071871536529557,0.9071871536529557,1.0,1.0,0.38962751912444876
Classical full,Average linkage,17,1.0,1.0,1.0,1.0,0.11795172965733365
Classical full,DBSCAN,17,0.9569457334554999,1.0,0.7603911980440098,0.7726161369193154,0.6479917508135402
Classical full,HDBSCAN,17,0.9847937838015367,1.0,0.7799511002444988,0.7799511002444988,0.726537496096065
JDR,K-medoids,18,0.6366322564713031,0.6366322564713031,1.0,1.0,0.2329884884785772
