representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical shape,DBSCAN,15,0.8967720852236545,,0.77,0.785,0.08052075848408671
Classical shape,HDBSCAN,15,0.8988486573170641,1.0,0.45875,0.4625,0.12794237798815236
Classical full,K-medoids,15,0.3580972789822581,0.3580972789822581,1.0,1.0,0.3677872368673116
Classical full,K-means,15,0.5387107747753728,0.5387107747753728,1.0,1.0,0.5869413166410965
Classical full,Average linkage,15,0.8560660561580119,0.8560660561580119,1.0,1.0,0.015546668024189393
Classical full,DBSCAN,15,0.9271103460174787,,0.7875,0.795,0.07116031762277435
Classical full,HDBSCAN,15,0.9222136155939489,1.0,0.5525,0.5575,0.2455848302525554
JDR,K-medoids,16,0.9833366248654251,0.9833366248654251,1.0,1.0,0.30223390060914734
JDR,K-means,16,0.9453783873339243,0.9453783873339243,1.0,1.0,0.31159493658327286
JDR,Average linkage,16,0.7560562257620885,0.7560562257620885,1.0,1.0,0.5984194588651062
JDR,DBSCAN,16,0.8867030690681243,0.9706353452064769,0.785,0.815,0.559812045192535
JDR,HDBSCAN,16,0.7817556697720235,0.9647194509760427,0.605,0.65375,0.27165554184541096
Classical shape,K-medoids,16,0.7171387292249339,0.7171387292249339,1.0,1.0,0.32164129220825505
Classical shape,K-means,16,0.9595216304193015,0.9595216304193015,1.0,1.0,0.283420667643877
Classical shape,Average linkage,16,0.6632153467233168,0.6632153467233168,1.0,1.0,0.010233862005479832
Classical shape,DBSCAN,16,0.9084563845456589,,0.76375,0.76875,0.0756593025114359
Classical shape,HDBSCAN,16,0.830885382826517,1.0,0.44375,0.455,0.12499292352987804
Classical full,K-medoids,16,0.9899158775763446,0.9899158775763446,1.0,1.0,0.6228198524708259
Classical full,K-means,16,0.8689413822455782,0.8689413822455782,1.0,1.0,0.3658596695818657
Classical full,Average linkage,16,0.6632153467233168,0.6632153467233168,1.0,1.0,0.020308882709907917
Classical full,DBSCAN,16,0.9142227174923336,,0.77875,0.7875,0.08347393937879426
Classical full,HDBSCAN,16,0.8812564888441862,1.0,0.54375,0.55,0.2301545866472173
JDR,K-medoids,17,0.9235893268548778,0.9235893268548778,1.0,1.0,0.29642496314611844
JDR,K-means,17,0.98416408000624,0.98416408000624,1.0,1.0,0.30238413521369695
JDR,Average linkage,17,0.9855085397032165,0.9855085397032165,1.0,1.0,0.6641260865677736
JDR,DBSCAN,17,0.9159146467484706,0.9619740702703337,0.81125,0.82875,0.5530101489676023
JDR,HDBSCAN,17,0.6747553573373971,0.7349090840351016,0.555,0.5575,0.14028633169335022
