object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors
OGLE-LMC-RRLYR-07434,LMC,RRab,0.5308645,2167.39035,,fundamental,0fcc635842b9c10c9741eb009fc77164a4b57d27928a8275e5364545585cdc2b,photometry/OGLE-LMC-RRLYR-07434.dat,8592,358,2373.7498600000004,True
OGLE-LMC-RRLYR-07435,LMC,RRc,0.2998599,2167.66811,,first overtone,83771ffd18496f5b19e52c41451118e1cf24a102e316352e7d73ddb9373b0ad8,photometry/OGLE-LMC-RRLYR-07435.dat,9168,382,2373.7504,True
OGLE-LMC-RRLYR-07436,LMC,RRab,0.4961321,2167.83982,,fundamental,9523dd136db7dd07bd7dcd40730fa944c5fb5311d4fed1fa31065a8a2da16d40,photometry/OGLE-LMC-RRLYR-07436.dat,8592,358,2373.7498600000004,True
OGLE-LMC-RRLYR-07437,LMC,RRc,0.3836983,2167.61483,,first overtone,9287b4625ce2e31848954d0b4bcd3566d643c6ed400d9c003f5ddbb5b8d17467,photometry/OGLE-LMC-RRLYR-07437.dat,9168,382,2373.7504,True
OGLE-LMC-RRLYR-07439,LMC,RRab,0.5429819,2167.58335,,fundamental,8eccdeb987133bfecbc63347fb0d64cd1694e7e3a9bb7e3d8b4e55afeaf4c9c1,photometry/OGLE-LMC-RRLYR-07439.dat,9168,382,2373.7504,True
OGLE-LMC-RRLYR-07440,LMC,RRc,0.3371246,2167.76021,,first overtone,f8a41c7206528b4d610772eaf95562e5723ef678b7f7ad496c7d30b7b33a98c5,photometry/OGLE-LMC-RRLYR-07440.dat,8928,372,2373.75035,True
OGLE-LMC-RRLYR-07441,LMC,RRab,0.5103167,2167.32287,,fundamental,37d9035ea914d921f01aa697099769cbe38d8dbe969ad2efa07774897a4fcba0,photometry/OGLE-LMC-RRLYR-07441.dat,9216,384,2373.7506999999996,True
OGLE-LMC-RRLYR-07442,LMC,RRab,0.5800774,2167.3974,,fundamental,63021ba59ed27b721f49d57c5afb358c8cbb8225b7c88151e182cdd7b2c9f265,photometry/OGLE-LMC-RRLYR-07442.dat,12408,517,2333.8345699999995,True
OGLE-LMC-RRLYR-07443,LMC,RRab,0.691441,2167.71264,,fundamental,ca0800c1fc341d2b314cf5c74a522b838c343b31d0611773d4da727864b706f6,photometry/OGLE-LMC-RRLYR-07443.dat,8664,361,2373.7499999999995,True
OGLE-LMC-RRLYR-07444,LMC,RRab,0.5768452,457.46589,,fundamental,9cf7594e50a71cf6815ee2b2299c0463dd4a98c6a02fb26392670ce93bf37582,photometry/OGLE-LMC-RRLYR-07444.dat,17064,711,4083.8190299999997,True
OGLE-LMC-RRLYR-07445,LMC,RRc,0.4557221,457.61844,,first overtone,6ca783d727c1bef1a150b86114e3f5dcb310de1a873387d1af906f93f8f21315,photometry/OGLE-LMC-RRLYR-07445.dat,18288,762,4083.82645,True
OGLE-LMC-RRLYR-07446,LMC,RRc,0.3335372,457.48076,,first overtone,5cce68d12eceadaff28b0862c8d2a9e92dfd4a1b94fa04b6e136ed865777cf34,photometry/OGLE-LMC-RRLYR-07446.dat,17760,740,4083.82494,True
OGLE-LMC-RRLYR-07447,LMC,RRab,0.5234838,2167.56109,,fundamental,d10f6f5763616b8a20b819ec22751618a16c54a74d2cf80c5500e601d17072a6,photometry/OGLE-LMC-RRLYR-07447.dat,12936,539,2333.8345699999995,True
OGLE-LMC-RRLYR-07448,LMC,RRab,0.5603621,457.5431,,fundamental,bbecbca7b5d495fccc3e124e596120c14049dfe3598eb804737330ea2e0e49ce,photometry/OGLE-LMC-RRLYR-07448.dat,18024,751,4083.82593,True
OGLE-LMC-RRLYR-07449,LMC,RRab,0.6315567,2167.54725,,fundamental,977c1213aa8bc19e1d8aa91a081a88d797eafa3ad205751371b3ef46593c565a,photometry/OGLE-LMC-RRLYR-07449.dat,8664,361,2373.7499999999995,True
OGLE-LMC-RRLYR-07450,LMC,RRab,0.5461688,457.68629,,fundamental,3e0565fbb80faa72bfacbb20ff9aa0a067d327126e813335dbe0978756f8a0a7,photometry/OGLE-LMC-RRLYR-07450.dat,18192,758,4083.8274899999997,True
OGLE-LMC-RRLYR-07451,LMC,RRe,0.2413463,457.59373,,catalog RRe,9e863d39915413b61beea989cfa83244717887ffca3ee9f98bd46e3cb330fbe7,photometry/OGLE-LMC-RRLYR-07451.dat,18264,761,4083.82697,True
OGLE-LMC-RRLYR-07452,LMC,RRab,0.5582025,2167.44582,,fundamental,b82ca4f490bcdc71759941ba4336daa48cf8d6a765c684b2de73183cb08d7ebb,photometry/OGLE-LMC-RRLYR-07452.dat,8664,361,2373.7499999999995,True
OGLE-LMC-RRLYR-07453,LMC,RRab,0.5908291,457.75219,,fundamental,bb456fd77f110bacb93506ccc827af99e7065f95126c7eef9bb6fa43292700db,photometry/OGLE-LMC-RRLYR-07453.dat,17784,741,4083.82541,True
