object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors,eligible,exclusion_reason
OGLE-LMC-RRLYR-14469,LMC,RRab,0.5795226,446.46839,,fundamental,726394624363ab48ad8d154da666cab4fd446a180d2af934d283cf3cb19c9989,photometry/OGLE-LMC-RRLYR-14469.dat,21048,877,4094.9251999999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14496,LMC,RRc,0.2792164,446.45903,,first overtone,5e93711d788e1ffe21c30f2454ff90f35c014b99a372c578da761e5ea83ed0bc,photometry/OGLE-LMC-RRLYR-14496.dat,20904,871,4094.92346,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14635,LMC,RRc,0.3617235,446.40654,,first overtone,227b72ac3ad40b6bfb1108a57bbdc925ee26bcc6f80307618a96a909d293e3e2,photometry/OGLE-LMC-RRLYR-14635.dat,38760,1615,4094.9299699999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14654,LMC,RRab,0.4949823,446.60421,,fundamental,78b1a64647f0a468e3515035ebe55d0ee507144391db99461f791ac7e61fc810,photometry/OGLE-LMC-RRLYR-14654.dat,30984,1291,4094.9190600000006,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14669,LMC,RRab,0.616101,446.10797,,fundamental,5374ef7e2ec346030f966dfec840c595df62da2de1b4186ec08eb94ea4dc1b8b,photometry/OGLE-LMC-RRLYR-14669.dat,32016,1334,4094.92389,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14692,LMC,RRab,0.5271378,446.5185,,fundamental,cf24ae6b1f81c88d441fb63e88dc9ece46064a9a0f4cf4c741b6b09129bb845c,photometry/OGLE-LMC-RRLYR-14692.dat,31032,1293,4094.9190500000004,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14716,LMC,RRab,0.5331424,455.23758,,fundamental,cda1620eab5e0b92270acff99e666a152f3d3e26711a24ebb65cea5821a10840,photometry/OGLE-LMC-RRLYR-14716.dat,28344,1181,4085.9872500000006,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14735,LMC,RRab,0.7797123,454.95693,,fundamental,fb64bb36bf5210953a9e0b1968e531effa6dcab90e687300e2a9f2eec29dd096,photometry/OGLE-LMC-RRLYR-14735.dat,25440,1060,4085.99104,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14745,LMC,RRd,0.361579,2167.84979,0.4858019,first overtone,fcb54d5e5968a8e856fe8e69a39a0641ffd5ff9ec766c1b28875b1c7a10c9eae,photometry/OGLE-LMC-RRLYR-14745.dat,8400,350,2373.77949,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14751,LMC,RRab,0.6466538,2167.31261,,fundamental,7135b447b7a37b321efebfddbbbbdc8d8ecf944eff90bcf56181ea4d65b70fbf,photometry/OGLE-LMC-RRLYR-14751.dat,12264,511,2373.77994,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14764,LMC,RRab,0.579995,455.16173,,fundamental,fb47877e94090afe4863a5a82f7840242f8eef93b8f9d9eaeea6f3b17de2b8e9,photometry/OGLE-LMC-RRLYR-14764.dat,21192,883,4085.99262,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14783,LMC,RRc,0.34478,455.5864,,first overtone,5ad71960b5f8c4423272afd155ca843409f3607de1cec937d2c7f27ac7aecaa2,photometry/OGLE-LMC-RRLYR-14783.dat,21264,886,4085.99446,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14831,LMC,RRab,0.5639263,455.53773,,fundamental,fd36ea1b543de0326487324045ad323208f044eb5ec62a71bf5a5a071bbe183d,photometry/OGLE-LMC-RRLYR-14831.dat,21192,883,4085.9927199999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14895,LMC,RRab,0.4803659,455.57179,,fundamental,9ae170583e7cb51d2b09d011fc2692d1f185c12fb6497b8b54b32c378a298b42,photometry/OGLE-LMC-RRLYR-14895.dat,21336,889,4085.99178,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14913,LMC,RRab,0.5954725,455.48739,,fundamental,fb8c8c358d86025f1b6498f0565fce8434cbe6eb6cfb7e940f83119123f8dbe7,photometry/OGLE-LMC-RRLYR-14913.dat,17976,749,4085.9870200000005,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14931,LMC,RRab,0.540038,455.19668,,fundamental,675ec218a378808a83e1aa3fc79b6d7f5e393f3079c57edb2376cd1a2257ae98,photometry/OGLE-LMC-RRLYR-14931.dat,24264,1011,4085.9987899999996,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14949,LMC,RRab,0.5105652,455.49853,,fundamental,e1ffdfe1a972d93559349a94d864216d45dd190b48b205ea91f4d613b587f97d,photometry/OGLE-LMC-RRLYR-14949.dat,21168,882,4085.99243,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14953,LMC,RRab,0.513155,455.14907,,fundamental,f040cf59e8259e43f4f98d52c5c117aa68b51a197cca405d2fe0dd2cf29a38f5,photometry/OGLE-LMC-RRLYR-14953.dat,24456,1019,4085.9983999999995,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14967,LMC,RRc,0.3129866,455.46942,,first overtone,305cc59fbe4b1f3236f62a04f2ab1059f29ef6fc262888e20f41afcb86e02d9d,photometry/OGLE-LMC-RRLYR-14967.dat,20640,860,4085.99125,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14995,LMC,RRc,0.3329296,2167.71656,,first overtone,282f6dae412f1b057f6b0898a1a2f800d18c1aaea73cf8b0cc7cf76f7bbe6072,photometry/OGLE-LMC-RRLYR-14995.dat,8520,355,2373.77949,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-15050,LMC,RRe,0.2274635,455.57157,,catalog RRe,425a55ebd0ea9d636f139f2eddcd01d6cada72117182f1408f0f7be5bee9cdf5,photometry/OGLE-LMC-RRLYR-15050.dat,21384,891,4085.9869200000003,True,False,Exact duplicate folded phases
